,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
27,2020-04-23,133.8197496889212,38.94418432882807,218.3747499560863,133.8197496889212,133.8197496889212,-3.8448379769164545,-3.8448379769164545,-3.8448379769164545,-3.8448379769164545,-3.8448379769164545,-3.8448379769164545,0.0,0.0,0.0,129.97491171200474
28,2020-04-24,135.6152069206776,45.131385541485024,216.81287647058386,135.6152069206776,135.6152069206776,-7.760561843329971,-7.760561843329971,-7.760561843329971,-7.760561843329971,-7.760561843329971,-7.760561843329971,0.0,0.0,0.0,127.85464507734763
29,2020-04-27,141.00157861594673,49.15197710820951,222.16463257511734,141.00157861594673,141.00157861594673,-5.865511429688512,-5.865511429688512,-5.865511429688512,-5.865511429688512,-5.865511429688512,-5.865511429688512,0.0,0.0,0.0,135.1360671862582
30,2020-04-28,142.79703584770309,58.63930094256618,220.44041280838294,142.79703584770309,142.79703584770309,-2.388675793682193,-2.388675793682193,-2.388675793682193,-2.388675793682193,-2.388675793682193,-2.388675793682193,0.0,0.0,0.0,140.4083600540209
31,2020-04-29,144.59249307945944,59.071987052782575,231.52363740397502,144.59249307945944,144.59249307945944,-3.49604256714209,-3.49604256714209,-3.49604256714209,-3.49604256714209,-3.49604256714209,-3.49604256714209,0.0,0.0,0.0,141.09645051231735
32,2020-04-30,146.38795031121583,57.714273189157886,224.62918595002344,146.38795031121583,146.38795031121583,-3.8448379769152776,-3.8448379769152776,-3.8448379769152776,-3.8448379769152776,-3.8448379769152776,-3.8448379769152776,0.0,0.0,0.0,142.54311233430056
33,2020-05-01,148.18340786014764,55.49401773028823,226.3281630087319,148.18340786014764,148.18340786014764,-7.760561843349028,-7.760561843349028,-7.760561843349028,-7.760561843349028,-7.760561843349028,-7.760561843349028,0.0,0.0,0.0,140.42284601679862
34,2020-05-04,153.5697805069431,60.298697925316944,231.64202857875404,153.5697805069431,153.5697805069431,-5.865511429701436,-5.865511429701436,-5.865511429701436,-5.865511429701436,-5.865511429701436,-5.865511429701436,0.0,0.0,0.0,147.70426907724166
35,2020-05-05,155.3652380558749,67.0634526454869,237.97973664211457,155.3652380558749,155.3652380558749,-2.388675793662373,-2.388675793662373,-2.388675793662373,-2.388675793662373,-2.388675793662373,-2.388675793662373,0.0,0.0,0.0,152.97656226221252
36,2020-05-06,157.1606956048067,65.04006606847932,232.56457133316923,157.1606956048067,157.1606956048067,-3.496042567141515,-3.496042567141515,-3.496042567141515,-3.496042567141515,-3.496042567141515,-3.496042567141515,0.0,0.0,0.0,153.66465303766518
37,2020-05-07,158.95615315373854,70.15965174302075,241.97422027461855,158.95615315373854,158.95615315373854,-3.8448379769229466,-3.8448379769229466,-3.8448379769229466,-3.8448379769229466,-3.8448379769229466,-3.8448379769229466,0.0,0.0,0.0,155.1113151768156
38,2020-05-08,160.75161070267035,64.23707796946832,239.49121458632683,160.75161070267035,160.75161070267035,-7.7605618433536545,-7.7605618433536545,-7.7605618433536545,-7.7605618433536545,-7.7605618433536545,-7.7605618433536545,0.0,0.0,0.0,152.9910488593167
39,2020-05-11,166.13798334946574,77.61912276366728,249.8390666162965,166.13798334946574,166.13798334946574,-5.865511429694453,-5.865511429694453,-5.865511429694453,-5.865511429694453,-5.865511429694453,-5.865511429694453,0.0,0.0,0.0,160.27247191977128
40,2020-05-12,167.93344089839758,80.47996278671094,245.28188858774743,167.93344089839758,167.93344089839758,-2.3886757936666125,-2.3886757936666125,-2.3886757936666125,-2.3886757936666125,-2.3886757936666125,-2.3886757936666125,0.0,0.0,0.0,165.54476510473097
41,2020-05-13,169.72889895414679,77.93475988602273,243.94161198230265,169.72889895414679,169.72889895414679,-3.4960425671383613,-3.4960425671383613,-3.4960425671383613,-3.4960425671383613,-3.4960425671383613,-3.4960425671383613,0.0,0.0,0.0,166.2328563870084
42,2020-05-14,171.52435700989602,85.65202349503159,259.9432021766307,171.52435700989602,171.52435700989602,-3.844837976930614,-3.844837976930614,-3.844837976930614,-3.844837976930614,-3.844837976930614,-3.844837976930614,0.0,0.0,0.0,167.6795190329654
43,2020-05-15,173.31981506564523,78.08223524405852,247.34249024764483,173.31981506564523,173.31981506564523,-7.760561843340573,-7.760561843340573,-7.760561843340573,-7.760561843340573,-7.760561843340573,-7.760561843340573,0.0,0.0,0.0,165.55925322230465
44,2020-05-18,178.7061892328929,88.78111090048817,254.59432205642787,178.7061892328929,178.7061892328929,-5.865511429681063,-5.865511429681063,-5.865511429681063,-5.865511429681063,-5.865511429681063,-5.865511429681063,0.0,0.0,0.0,172.84067780321186
