Date,Close,yhat
2/11/2022,860,418.03
2/14/2022,875.76,425.94
2/15/2022,922.43,431.43
2/16/2022,923.39,432.32
2/17/2022,876.35,433.98
2/18/2022,856.98,432.07
2/22/2022,821.53,439.98
2/23/2022,764.04,445.46
2/24/2022,800.77,446.36
2/25/2022,809.87,448.16
2/28/2022,870.43,446.40
3/1/2022,864.37,454.74
3/2/2022,879.89,460.37
3/3/2022,839.29,461.41
3/4/2022,838.29,463.21
3/7/2022,804.58,461.45
3/8/2022,824.4,469.79
3/9/2022,858.97,475.61
3/10/2022,838.3,476.84
3/11/2022,795.35,478.83
3/14/2022,766.37,477.26
3/15/2022,801.89,486.18
3/16/2022,840.23,492.00
3/17/2022,871.6,493.23
3/18/2022,905.39,495.22
3/21/2022,921.16,493.84
3/22/2022,993.98,503.32
3/23/2022,999.11,509.33
3/24/2022,1013.92,510.75
3/25/2022,1010.64,512.93
3/28/2022,1091.84,511.55
3/29/2022,1099.57,521.03
3/30/2022,1093.99,527.04
3/31/2022,1077.6,528.54
4/1/2022,1084.59,530.80
4/4/2022,1145.45,529.49
4/5/2022,1091.26,539.21
4/6/2022,1045.76,545.29
4/7/2022,1057.26,546.79
4/8/2022,1025.49,549.05
4/11/2022,975.93,547.74
4/12/2022,986.95,557.45
4/13/2022,1022.37,563.54
4/14/2022,985,565.04
4/18/2022,1004.29,565.99
4/19/2022,1028.15,575.70
4/20/2022,977.2,581.79
4/21/2022,1008.78,583.29
4/22/2022,1005.05,585.54
4/25/2022,998.02,584.23
4/26/2022,876.42,593.95
4/27/2022,881.51,600.03
4/28/2022,877.51,601.53
4/29/2022,870.76,603.79
5/2/2022,902.94,602.48
5/3/2022,909.25,612.20
5/4/2022,952.62,618.28
5/5/2022,873.28,619.78
5/6/2022,865.65,622.04
5/9/2022,787.11,620.73
5/10/2022,800.04,630.45
5/11/2022,734,636.53
5/12/2022,728,638.03
5/13/2022,769.59,640.29
5/16/2022,724.37,648.69
5/17/2022,761.61,654.63
5/18/2022,709.81,655.98
5/19/2022,709.42,658.09
5/20/2022,663.9,665.89
5/23/2022,674.9,671.83
5/24/2022,628.16,673.18
5/25/2022,658.8,675.29
5/26/2022,707.73,673.83
5/27/2022,759.63,683.09
5/31/2022,758.26,689.03
6/1/2022,740.37,690.38
6/2/2022,775,692.48
6/3/2022,703.55,691.03
6/6/2022,714.84,706.23
6/7/2022,716.66,707.58
6/8/2022,725.6,709.68
6/9/2022,719.12,708.22
6/10/2022,696.69,717.49
6/13/2022,647.21,723.42
6/14/2022,662.67,724.77
6/15/2022,699,726.88
6/16/2022,639.3,725.42
6/17/2022,650.28,734.69
6/21/2022,711.11,740.62
6/22/2022,708.26,741.97
6/23/2022,705.21,744.08
6/24/2022,737.12,742.62
6/27/2022,734.76,751.89
6/28/2022,697.99,757.82
6/29/2022,685.47,759.17
6/30/2022,673.42,761.28
7/1/2022,681.79,759.82
7/5/2022,699.2,775.02
7/6/2022,695.2,776.37
7/7/2022,733.63,778.48
7/8/2022,752.29,777.02
7/11/2022,703.03,786.29
7/12/2022,699.21,792.22
7/13/2022,711.12,793.57
7/14/2022,714.94,795.68
7/15/2022,720.2,794.22
7/18/2022,721.64,803.49
7/19/2022,736.59,809.42
7/20/2022,742.5,810.77
7/21/2022,815.12,812.88
7/22/2022,816.73,811.42
7/25/2022,805.3,820.69
7/26/2022,776.58,826.62
7/27/2022,824.46,827.97
7/28/2022,842.7,830.08
7/29/2022,891.45,828.62
,,850.51
,,852.97
,,837.88
,,843.82
,,845.17
,,847.28
,,845.82
,,867.71
,,870.17
,,855.08
,,861.02
,,862.37
,,864.48
,,863.02
,,884.91
,,887.37
,,872.28
,,878.22
,,879.57
,,881.67
,,880.22
,,902.11
,,904.57
,,889.48
,,895.42
,,896.77
,,898.87
,,897.42
,,919.31
,,921.77
